name,rank,kills,vs_kills,nc_kills,nso_kills,teamkills,headshot_kills,vehicle_destroys,deaths,vs_deaths,nc_deaths,nso_deaths,teamdeaths,self_kills,self_deaths,facility_captures,facility_defends,marksman_ribbons,killstreak_ribbons,bountycontracts_ribbons,repair_ribbons,squadleadership_ribbons,pointcontrol_ribbons,piloting_ribbons,healing_ribbons,spotter_ribbons,objectivesupport_ribbons,savior_ribbons,reviving_ribbons,logistics_ribbons,resupply_ribbons
Squuiizzyy,Officer,235,41,142,1,51,22,49,190,81,97,0,12,2,2,14,20,1,0,1,0,17,15,11,0,0,2,1,0,0,0
Standup1,Raven,26,8,17,0,1,5,2,38,3,31,0,3,0,0,3,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0
StarbySolTechTR,Caladrius,110,43,63,0,4,27,1,171,55,99,7,10,3,3,14,13,0,0,0,0,0,11,0,6,0,1,2,14,0,0
StrictFutz,Recruit,16,0,16,0,0,7,1,17,0,16,0,1,1,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0
TRessStick,Recruit,31,13,17,0,1,4,6,59,26,31,1,1,1,1,3,7,1,0,0,0,0,2,0,0,1,0,1,0,0,0
TerranitupDownunder,Recruit,15,6,9,0,0,0,18,9,7,2,0,0,0,0,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Tigris20,Recruit,39,15,21,1,2,13,6,44,17,24,1,2,1,1,8,9,1,1,0,0,0,0,0,0,1,1,0,0,0,0
TinySatan2TR,Raven,111,27,81,0,3,26,12,91,15,66,3,7,1,1,10,12,0,3,0,1,0,9,0,0,1,0,2,0,0,0
TripleDeuce,Roc,100,35,62,2,1,18,0,109,28,79,0,2,3,3,12,4,1,1,0,0,0,5,0,0,0,0,1,0,0,0
TrooperTime,Leader,209,65,123,4,17,28,29,100,34,62,2,2,2,2,13,27,2,8,3,1,8,10,2,2,1,0,2,1,0,0
Unforgivingnoob,Raven,163,98,60,3,2,33,31,108,60,44,2,2,2,2,11,22,3,5,3,0,9,8,0,0,1,1,3,0,0,0
VinnMobile,NCO,97,37,56,1,3,23,5,176,53,110,6,7,2,2,16,16,0,1,1,0,50,8,0,0,6,0,0,0,0,0
WarHammaa,Caladrius,214,58,152,0,4,118,1,151,32,110,1,7,0,0,21,15,1,5,2,0,0,17,0,0,0,5,3,1,0,0
WateryPorridge,Recruit,73,8,62,1,2,32,2,104,20,82,1,1,3,3,10,15,5,1,0,0,0,1,0,0,1,0,1,0,0,0
Wyzenhimer,Officer,86,29,52,1,4,4,53,28,6,18,1,3,1,1,2,6,0,0,4,3,0,0,3,0,6,0,1,0,0,0
XRaySpecks,NCO,98,32,60,0,6,27,4,95,32,61,0,2,1,1,15,21,2,1,1,0,8,19,0,2,0,1,2,7,0,0
YokohamaRee,Recruit,46,0,45,0,1,9,0,44,1,41,0,1,0,0,0,6,3,1,1,2,0,0,0,0,1,0,1,0,0,0
YouHaveBeenFooled,Raven,40,3,35,0,2,8,1,37,1,35,0,1,0,0,5,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Yukinnn,Recruit,1,0,1,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zelites,Raven,82,20,58,0,4,15,10,78,12,62,0,4,1,1,9,8,0,2,0,0,0,5,0,3,0,3,1,5,0,0
diamond61,Recruit,9,4,4,0,1,0,5,19,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibulleti26,Raven,128,49,78,0,1,37,15,114,44,66,2,2,2,2,10,9,0,2,0,1,0,8,0,0,4,1,3,0,0,0
lDied,Raven,61,20,31,0,10,10,7,181,59,112,4,5,4,4,24,28,0,0,0,0,0,20,0,13,1,0,1,10,0,0
neionix,Recruit,20,6,14,0,0,7,0,112,26,75,3,8,3,3,14,20,0,0,0,0,0,11,0,16,0,0,0,13,0,0
thirtybees,Caladrius,24,9,9,2,4,7,4,62,25,36,0,1,0,0,6,8,0,0,0,0,0,5,0,0,0,2,0,0,0,0
