name,rank,active_time_hours,kills,vs_kills,nc_kills,nso_kills,teamkills,headshot_kills,kill_weapons,kill_vehicles,vehicle_destroys,deaths,vs_deaths,nc_deaths,nso_deaths,teamdeaths,self_kills,self_deaths,death_weapons,death_vehicles,facility_captures,facility_defends,marksman_ribbons,killstreak_ribbons,bountycontracts_ribbons,repair_ribbons,squadleadership_ribbons,pointcontrol_ribbons,piloting_ribbons,healing_ribbons,spotter_ribbons,objectivesupport_ribbons,savior_ribbons,reviving_ribbons,logistics_ribbons,resupply_ribbons
MAXlMUX,Leader,0.75,12,3,0,0,0,4,"[[""LA1 Anchor"", 11], [""NC05 Jackhammer"", 1]]",[],1,10,6,0,0,0,0,0,"[[""Orion VS54"", 2], [""Ghost"", 2], [""TSAR-42"", 1], [""AS16 NightHawk"", 1], [""Phobos VX86"", 1], [""TORQ-9"", 1], [""NS-11C"", 1], [""NS AutoBlade"", 1]]",[],4,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0
MINNIMM,Friends of RAVE,0.75,17,12,0,0,0,5,"[[""NSX-P Naginata"", 15], [""Hawk GD-68"", 1]]","[[""Mosquito"", 1]]",1,19,10,0,0,0,0,0,"[[""Ghost"", 2], [""AS16 NightHawk"", 2], [""Pandora VX25"", 2], [""NS-15M AE"", 2], [""T32 Bull"", 1], [""NS-11P"", 1], [""Claymore"", 1], [""Phobos VX86"", 1], [""Lasher X2"", 1], [""NS-44L Blackhand"", 1], [""TSAR-42"", 1], [""Xiphos Anti-Personnel Phalanx Tower"", 1], [""Spitfire Auto-Turret"", 1], [""M60-A Bulldog"", 1], [""MG-S1 Jackal"", 1]]","[[""Xiphos Anti-Personnel Tower"", 1], [""Spitfire Auto-Turret"", 1], [""Liberator"", 1]]",5,6,0,0,0,0,0,2,0,0,2,0,0,0,0,0
MOTIF,Leader,0.75,8,4,0,0,0,2,"[[""Xiphos Anti-Personnel Phalanx Tower"", 4], [""AC-X11"", 3], [""MGR-S1 Gladius"", 1]]","[[""Xiphos Anti-Personnel Tower"", 4]]",1,4,1,0,0,0,0,0,"[[""Orion VS54"", 1], [""Hellfire Rocket Pods"", 1], [""NS-11A"", 1]]","[[""Mosquito"", 1]]",3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0
MilesTails,JJAM,0.75,19,11,0,0,0,2,"[[""MGR-L1 Promise AE"", 18], [""CAS 14-E"", 1]]","[[""Valkyrie"", 1]]",1,7,5,0,0,0,2,2,"[[""NS-44 Commissioner"", 2], [""Phobos VX86"", 1], [""VE-H Maw"", 1], [""Claymore"", 1], [""NS-15M2"", 1], [""Ghost"", 1]]",[],2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NCGoodBoys,Friends of RAVE,0.75,36,16,2,0,2,7,"[[""NS-15M1"", 26], [""NS-44 Commissioner"", 4], [""G30 Walker"", 1]]","[[""Sunderer"", 1], [""Mosquito"", 1]]",3,15,7,0,0,0,10,10,"[[""M14 Banshee"", 2], [""Phobos VX86"", 1], [""Terminus VX-9"", 1], [""VE-H Maw"", 1], [""MRC3 Mercy"", 1], [""Spitfire Auto-Turret"", 1], [""T32 Bull"", 1], [""Pulsar VS1"", 1], [""Orion VS54"", 1], [""NS-15M AE"", 1], [""C150 Dalton"", 1], [""C-4"", 1], [""T9A \""Butcher\"""", 1]]","[[""Mosquito"", 2], [""Spitfire Auto-Turret"", 1], [""Liberator"", 1]]",6,6,0,1,1,0,0,4,0,0,2,0,1,0,0,0
NCZEPAT,Friends of RAVE,0.75,39,19,1,0,1,1,"[[""Breaker Rocket Pods"", 18], [""M30 Mustang AH"", 12], [""M20 Mustang"", 7], [""AF-19 Mercenary"", 1]]","[[""Reaver"", 38]]",11,6,3,1,0,1,3,3,"[[""Skyguard"", 2], [""M18 Rotary"", 1], [""Maelstrom Turbo Laser"", 1]]","[[""Lightning"", 2], [""Scythe"", 2], [""Mosquito"", 1], [""Valkyrie"", 1]]",1,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0
NDmajor001,Friends of RAVE,0.75,43,21,1,0,1,5,"[[""NC6A GODSAW"", 39], [""NS-44P Commissioner"", 3], [""Hawk GD-68"", 1]]",[],2,26,11,3,0,3,0,0,"[[""Orion VS54"", 3], [""Xiphos Anti-Personnel Phalanx Tower"", 3], [""NS-15M2"", 2], [""Pandora VX25"", 2], [""NSX Naginata"", 1], [""NS Decimator"", 1], [""NS-357 IA"", 1], [""Spitfire Auto-Turret"", 1], [""TORQ-9"", 1], [""M60-A Bulldog"", 1], [""NS-15M1"", 1], [""TMG-50"", 1], [""Claymore"", 1], [""MSW-R"", 1], [""TAR"", 1], [""Hoplon Anti-Aircraft Phalanx Tower"", 1], [""Hellfire Rocket Pods"", 1], [""Frag Grenade"", 1], [""NS-15MP"", 1]]","[[""Xiphos Anti-Personnel Tower"", 3], [""Spitfire Auto-Turret"", 1], [""Liberator"", 1], [""Glaive IPC"", 1], [""Aspis Anti-Aircraft Phalanx Tower"", 1], [""Mosquito"", 1]]",5,7,0,2,0,0,0,2,0,0,1,0,1,0,0,0
Nvre,Friends of RAVE,0.75,40,18,1,0,1,8,"[[""LA1 Anchor"", 35], [""NS Decimator"", 2], [""Spitfire Auto-Turret"", 1], [""NS-44 Commissioner"", 1]]","[[""Spitfire Auto-Turret"", 1], [""Drop Pod"", 1]]",1,20,9,0,0,0,0,0,"[[""NS-11P"", 3], [""MG-C1 Kindred"", 2], [""Terminus VX-9"", 2], [""Orion VS54"", 2], [""NS-11A"", 2], [""TAR"", 1], [""Ghost"", 1], [""Solstice VE3"", 1], [""VE-H Maw"", 1], [""TSAR-42"", 1], [""NS-15M2"", 1], [""NS-15M AE"", 1], [""T7 Mini-Chaingun"", 1]]","[[""Scythe"", 1]]",3,9,0,2,0,0,0,1,0,0,1,0,1,0,0,0
OplayQrO,Friends of RAVE,0.75,15,1,0,0,0,5,"[[""GR-22"", 14], [""C-4"", 1]]",[],1,18,5,1,0,1,2,2,"[[""NS-11A"", 2], [""TMG-50"", 2], [""NS-11P"", 2], [""Cycler TRV"", 1], [""NS-15M2"", 1], [""NSX-P Tanto"", 1], [""MSW-R"", 1], [""T1B Cycler"", 1], [""Orion VS54"", 1], [""Xiphos Anti-Personnel Phalanx Tower"", 1], [""NS-44 Commissioner"", 1], [""NSX Naginata"", 1], [""M60-A Bulldog"", 1], [""Ghost"", 1]]","[[""Xiphos Anti-Personnel Tower"", 1], [""Liberator"", 1]]",5,1,0,0,0,0,0,5,0,1,0,0,0,2,0,0
RaybenNC,Friends of RAVE,0.75,46,28,0,0,0,16,"[[""Carnage AR"", 44], [""CAS 14-E"", 1]]","[[""Valkyrie"", 1]]",0,22,12,2,0,2,0,0,"[[""Orion VS54"", 3], [""VE-H Maw"", 2], [""Damascus Edge"", 1], [""NSX Naginata"", 1], [""TSAR-42"", 1], [""Phobos VX86"", 1], [""EM6"", 1], [""T16 Rhino"", 1], [""NS-11CP"", 1], [""NS-15M AE"", 1], [""MG-S1 Jackal"", 1], [""NS-11A"", 1], [""NS-15MP"", 1], [""VX29 Polaris"", 1], [""Solstice VE3"", 1], [""NSX-P Naginata"", 1], [""Flare VE6"", 1], [""NS-357 IA"", 1]]","[[""Valkyrie"", 1]]",3,5,0,2,0,0,0,4,0,0,4,0,1,0,0,0
RucellLunt10,Friends of RAVE,0.75,29,4,0,0,0,8,"[[""NS-11P"", 29]]",[],0,12,3,0,0,0,0,0,"[[""MG-C1 Kindred"", 2], [""Terminus VX-9"", 2], [""NS-15M AE"", 1], [""AS16 NightHawk"", 1], [""MRC3 Mercy"", 1], [""Hellfire Rocket Pods"", 1], [""VE-A Lacerta"", 1], [""TMG-50"", 1], [""NS-15M2"", 1], [""Cycler TRV"", 1]]","[[""Mosquito"", 1]]",5,1,0,2,1,0,0,2,0,0,0,0,1,1,0,0
Simkung,Friends of RAVE,0.75,20,7,0,0,0,0,"[[""M20 Mustang"", 11], [""Breaker Rocket Pods"", 5]]","[[""Reaver"", 17], [""Mosquito"", 2]]",14,14,6,1,0,1,0,0,"[[""Saron Laser Cannon"", 2], [""Skyguard"", 2], [""Coyote Missiles"", 2], [""M18 Rotary"", 1], [""NS Annihilator "", 1], [""Nemesis VSH9"", 1], [""G40-F Ranger"", 1]]","[[""Mosquito"", 5], [""Reaver"", 2], [""Scythe"", 2], [""Lightning"", 2], [""Sunderer"", 1]]",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SolTechFlash,JJAM,0.75,42,30,1,0,1,14,"[[""NS-11C"", 38], [""NS-357 IA"", 4]]",[],0,19,10,1,0,1,8,8,"[[""Orion VS54"", 4], [""NS-44 Commissioner AE"", 2], [""Ghost"", 2], [""Claymore"", 2], [""NS-15MP"", 2], [""Spitfire Auto-Turret"", 1], [""Solstice SF"", 1], [""Zenith VX-5AE"", 1], [""LA1 Anchor"", 1], [""M14 Banshee"", 1], [""TSAR-42"", 1], [""T9 CARV"", 1]]","[[""Spitfire Auto-Turret"", 1], [""Mosquito"", 1]]",4,8,0,2,0,0,0,6,0,2,0,0,1,1,0,0
StanRedfield,Friends of RAVE,0.75,6,5,0,0,0,0,"[[""G40-F Ranger"", 1]]","[[""ANT"", 5], [""Scythe"", 1]]",4,3,3,0,0,0,0,0,"[[""Skyguard"", 1], [""Saron HRB-H"", 1]]","[[""Harasser"", 2], [""Lightning"", 1]]",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Uniess,JJAM,0.75,12,9,0,0,0,3,"[[""LA1 Anchor"", 9], [""AF-19 Mercenary"", 3]]",[],1,17,8,1,0,1,0,0,"[[""Orion VS54"", 3], [""Skyguard"", 2], [""Light PPA"", 2], [""VE-H Maw"", 1], [""TSAR-42"", 1], [""TAR"", 1], [""Chainblade"", 1], [""Force-Blade"", 1], [""NSX-P Naginata"", 1], [""C-4 ARX"", 1], [""AS16 NightHawk"", 1]]","[[""Lightning"", 2], [""Scythe"", 2], [""Valkyrie"", 1], [""Glaive IPC"", 1]]",3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0
XePhonESF,Friends of RAVE,0.75,29,15,0,0,0,0,"[[""M20 Mustang"", 17], [""Vortek Rotary"", 7], [""Hornet Missiles"", 3]]","[[""Reaver"", 29]]",31,13,8,2,0,2,0,0,"[[""M18 Rotary"", 3], [""Saron Laser Cannon"", 2], [""Antares LC"", 1], [""Maelstrom Turbo Laser"", 1], [""Skyguard"", 1], [""Nemesis VSH9"", 1]]","[[""Scythe"", 6], [""Mosquito"", 3], [""Reaver"", 2], [""Lightning"", 1]]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dddq,Friends of RAVE,0.75,58,11,1,0,1,17,"[[""NS-15M2"", 56], [""NS-44 Commissioner"", 2]]",[],0,18,4,2,0,2,0,0,"[[""T9A \""Butcher\"""", 3], [""NS-15M2"", 2], [""T7 Mini-Chaingun"", 2], [""Eridani SX5"", 1], [""TRAC-5 S"", 1], [""TORQ-9"", 1], [""Claymore"", 1], [""NS-11P"", 1], [""M14 Banshee"", 1], [""Hawk GD-68"", 1], [""C-4"", 1], [""Terminus VX-9"", 1], [""Light PPA"", 1]]","[[""Mosquito"", 1], [""Scythe"", 1]]",5,1,0,4,2,0,0,3,0,0,0,0,0,0,0,0
kororong,JJAM,0.75,56,31,1,0,1,21,"[[""EM6"", 50], [""NS-357 IA"", 2], [""Spitfire Auto-Turret"", 2], [""AC-X11"", 1], [""Hawk GD-68"", 1]]","[[""Spitfire Auto-Turret"", 2]]",2,19,11,2,0,2,0,0,"[[""Ghost"", 3], [""Light PPA"", 2], [""MSW-R"", 1], [""Solstice SF"", 1], [""Proximity Mine"", 1], [""Orion VS54"", 1], [""Terminus VX-9"", 1], [""Betelgeuse 54-A"", 1], [""MG-C1 Kindred"", 1], [""Claymore"", 1], [""Coyote Missiles"", 1], [""NS-15 Gallows"", 1], [""VE-H Maw"", 1], [""NS-11P"", 1], [""NSX-P Naginata"", 1], [""M60-A Bulldog"", 1]]","[[""Scythe"", 2], [""Mosquito"", 1], [""Liberator"", 1]]",4,7,0,3,3,0,0,4,0,0,0,0,0,0,0,0
mulmando,Friends of RAVE,0.75,13,4,0,0,0,1,"[[""NC1 Gauss Rifle"", 12]]","[[""Mosquito"", 1]]",0,8,3,0,0,0,0,0,"[[""Phobos VX86"", 1], [""NS-15MP"", 1], [""NS-11P"", 1], [""Ghost"", 1], [""TSAR-42"", 1], [""Xiphos Anti-Personnel Phalanx Tower"", 1], [""Betelgeuse 54-A"", 1], [""M14 Banshee"", 1]]","[[""Xiphos Anti-Personnel Tower"", 1], [""Mosquito"", 1]]",1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ncKimc,JJAM,0.75,25,16,0,0,0,7,"[[""NS-15M2"", 21], [""NS-45 Pilot"", 2], [""Spitfire Auto-Turret"", 1], [""NS Decimator"", 1]]","[[""Spitfire Auto-Turret"", 1]]",0,10,4,0,0,0,0,0,"[[""Solstice SF"", 2], [""Orion VS54"", 1], [""Betelgeuse 54-A"", 1], [""NS-11P"", 1], [""Chainblade"", 1], [""NSX-P Naginata"", 1], [""NS-44 Commissioner AE"", 1], [""NS-15M AE"", 1], [""MSW-R"", 1]]",[],4,4,0,1,0,0,8,5,0,0,0,0,0,0,0,0
ncShinC,JJAM,0.75,38,20,0,0,0,20,"[[""NC14 Bolt Driver"", 28], [""NS-45 Pilot"", 8], [""AC-X11"", 1], [""M30 Mustang AH"", 1]]","[[""Reaver"", 1]]",0,9,6,0,0,0,0,0,"[[""NS-11P"", 2], [""Betelgeuse 54-A"", 1], [""Ghost"", 1], [""NS-15M2"", 1], [""Orion VS54"", 1], [""NS-15M1"", 1], [""Solstice VE3"", 1]]",[],4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0
ncTasker,Friends of RAVE,0.75,41,9,0,0,0,27,"[[""SAS-R"", 34], [""NS-44 Commissioner"", 5], [""NSX Amaterasu"", 2]]",[],0,12,1,0,0,0,3,3,"[[""NS-15M AE"", 1], [""MG-C1 Kindred"", 1], [""TMG-50"", 1], [""M60-A Bulldog"", 1], [""TAR"", 1], [""NS-15M2"", 1], [""PDW-16 Hailstorm"", 1], [""Hellfire Rocket Pods"", 1], [""NS-11P"", 1], [""P2-120 AP"", 1], [""Lasher X2"", 1]]","[[""Galaxy"", 1], [""Mosquito"", 1], [""Prowler"", 1]]",7,1,1,1,1,0,0,2,0,0,1,0,1,0,0,0
songOFjupiterrr,Friends of RAVE,0.75,46,27,1,0,1,20,"[[""LA1 Anchor"", 37], [""MGR-L1 Promise AE"", 6], [""NS-357P Underboss"", 2], [""Icikill"", 1]]",[],2,15,10,1,0,1,1,1,"[[""Orion VS54"", 3], [""Solstice SF"", 1], [""NS-11A"", 1], [""Eridani SX5"", 1], [""Terminus VX-9"", 1], [""Flare VE6"", 1], [""NS-15M2"", 1], [""H-V45"", 1], [""NS-15MP"", 1], [""MSW-R"", 1], [""Solstice VE3"", 1]]",[],3,8,0,2,0,0,0,3,0,0,1,0,0,0,0,0
walwalwalwal,Friends of RAVE,0.75,29,14,0,0,0,8,"[[""NC6 Gauss SAW"", 20], [""NS-44 Commissioner"", 3], [""Spitfire Auto-Turret"", 3], [""AF-19 Mercenary"", 2], [""NS Decimator"", 1]]","[[""Spitfire Auto-Turret"", 3]]",2,13,9,0,0,0,5,5,"[[""Orion VS54"", 2], [""MG-C1 Kindred"", 2], [""Ghost"", 2], [""H-V45"", 1], [""NS-15M AE"", 1], [""NS-357 Underboss"", 1], [""VE-H Maw"", 1], [""Zenith VX-5AE"", 1], [""M14 Banshee"", 1]]","[[""Mosquito"", 1]]",5,7,0,1,0,0,0,2,0,0,2,0,0,0,0,0
