name,rank,kills,vs_kills,nc_kills,nso_kills,teamkills,headshot_kills,vehicle_destroys,deaths,vs_deaths,nc_deaths,nso_deaths,teamdeaths,self_kills,self_deaths,facility_captures,facility_defends,marksman_ribbons,killstreak_ribbons,bountycontracts_ribbons,repair_ribbons,squadleadership_ribbons,pointcontrol_ribbons,piloting_ribbons,healing_ribbons,spotter_ribbons,objectivesupport_ribbons,savior_ribbons,reviving_ribbons,logistics_ribbons,resupply_ribbons
DraronFurien,Caladrius,10,1,9,0,0,1,7,19,2,13,0,4,2,2,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0
ExterminatusRex,Raven,2,0,2,0,0,0,0,8,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felad321,NCO,12,3,8,1,0,0,1,29,14,12,0,2,0,0,4,1,0,0,0,1,0,4,0,0,1,1,1,0,0,0
Furbish,Raven,42,14,25,0,3,19,0,50,19,27,2,2,1,1,6,6,1,1,0,0,0,3,0,3,1,0,1,6,0,0
George6408,NCO,39,13,25,0,1,19,0,37,10,23,1,3,1,1,4,4,0,1,0,0,0,1,0,2,1,0,0,1,0,0
GhostAA,Raven,47,30,14,2,1,13,0,65,33,26,1,5,1,1,7,8,0,1,0,0,0,3,0,1,0,0,0,2,0,0
GhostBounty,Raven,59,16,37,1,5,12,7,92,40,46,1,5,1,1,10,7,0,1,0,0,0,6,1,2,0,0,1,5,0,0
Groinface,Leader,57,14,36,4,3,10,4,48,15,31,0,1,1,1,2,5,1,1,0,1,0,4,0,1,1,2,1,2,0,0
GuardsmanArmageddon2,Raven,9,0,9,0,0,0,0,8,0,6,0,2,2,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Gumstitch,Recruit,13,7,5,1,0,1,1,28,14,11,2,1,1,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Hokkee,Raven,14,3,8,0,3,2,3,61,18,36,1,6,1,1,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Hulio1,NCO,75,14,57,1,3,22,1,76,29,44,2,1,3,3,7,7,0,1,1,0,44,6,1,5,2,0,1,4,0,0
Infiniteb1u3,Caladrius,28,9,11,1,7,5,4,44,23,15,1,4,0,0,3,1,0,0,1,4,0,2,1,0,0,1,1,0,0,0
Khyross,Caladrius,8,0,8,0,0,0,9,8,1,6,0,1,0,0,1,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0
KuroRipper,Caladrius,63,20,42,0,1,22,2,38,16,18,3,1,0,0,5,4,0,3,1,0,0,3,0,0,1,0,1,0,0,0
Lash,Raven,53,29,21,2,1,18,3,68,30,33,2,2,0,0,6,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0
LiamJWE,Raven,67,28,31,3,5,11,1,49,25,18,3,3,0,0,7,5,0,1,0,0,0,2,0,0,3,2,2,0,0,0
Libturd,Officer,22,10,7,0,5,5,3,30,19,7,1,3,0,0,4,0,0,1,0,2,20,4,2,0,2,1,0,0,0,0
Luckyecho,Raven,32,10,19,1,2,3,4,89,31,52,5,1,2,2,6,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0
MasterAsia,Raven,28,2,24,0,2,0,24,6,1,4,0,1,2,2,0,1,0,0,2,2,0,0,1,0,1,0,0,0,0,0
MaxBond,Raven,19,3,14,0,2,0,13,10,3,5,0,1,0,0,1,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Neejrow,Recruit,26,14,10,1,1,2,2,17,6,10,0,1,2,2,5,3,1,0,0,1,0,2,0,0,0,0,1,0,0,0
NoOne40,NCO,73,37,32,3,1,14,9,59,25,28,3,2,0,0,5,8,2,2,2,0,0,3,0,0,3,0,2,0,0,0
Noremac,Recruit,21,3,15,0,3,3,8,58,12,43,1,1,1,1,3,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0
NvidiaGeforceGTX,Recruit,5,1,4,0,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peachni,Caladrius,23,5,14,1,3,4,5,47,19,21,0,7,1,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
PokemaniacMatt,NCO,9,0,5,0,4,1,2,25,11,12,0,2,0,0,4,0,0,0,0,6,0,1,1,1,0,1,0,0,0,0
RTilleryy,Raven,64,31,28,0,5,23,0,71,34,31,3,3,0,0,6,6,0,1,0,0,0,5,0,3,0,0,1,2,0,0
RagathTh3Knight,Caladrius,8,3,5,0,0,5,1,36,27,5,3,1,1,1,4,4,0,0,0,0,0,2,0,1,0,0,1,1,0,0
Ramshen,Raven,20,5,14,0,1,3,11,10,1,9,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0
RedWarp,Raven,12,5,7,0,0,0,6,9,0,7,0,2,1,1,1,1,1,0,0,2,0,0,0,0,4,0,0,0,0,0
RustyBicycle,Raven,69,23,40,2,4,13,10,43,12,27,0,4,2,2,2,3,1,2,0,0,0,2,1,1,1,2,1,0,0,0
SBK21,Officer,25,3,14,0,8,3,0,22,7,15,0,0,4,4,2,3,0,0,0,2,8,1,1,0,3,0,0,0,0,0
ServerStatusTR,Raven,23,7,14,0,2,8,3,73,33,37,1,2,0,0,7,7,1,0,0,0,0,3,0,0,1,0,1,1,0,0
Solauras,Raven,3,0,3,0,0,1,0,7,0,5,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Squuiizzyy,Officer,28,20,5,0,3,4,5,58,23,30,2,3,1,1,7,6,0,0,0,0,0,1,0,1,1,0,0,1,0,0
TRessStick,Recruit,16,0,14,0,2,3,3,35,0,31,0,4,0,0,10,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TheSeventhHeart,Recruit,11,0,11,0,0,0,0,17,0,13,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tigris20,Recruit,25,9,16,0,0,6,2,54,19,30,2,1,0,0,4,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0
TinySatan2TR,Raven,63,27,31,4,1,15,2,48,23,22,1,2,0,0,4,5,0,2,0,0,0,5,0,0,1,0,1,0,0,0
TrooperTime,Leader,39,15,20,1,3,2,28,15,6,9,0,0,1,1,2,4,0,0,1,0,19,0,1,0,3,0,1,1,0,0
TsunomakiWatame,Recruit,9,0,9,0,0,0,2,29,3,23,0,3,0,0,3,1,0,0,0,0,0,2,0,4,0,0,0,3,0,0
UnBenchTheKench,Caladrius,20,10,7,0,3,1,16,8,0,6,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Unforgivingnoob,Raven,91,48,37,2,4,17,8,67,31,29,0,7,2,2,7,7,1,2,0,0,0,2,0,0,1,0,1,2,0,0
Vaaden,Raven,24,3,18,0,3,0,21,4,2,2,0,0,1,1,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
VinnMobile,NCO,57,22,32,0,3,16,0,88,40,40,1,6,1,1,7,8,1,2,1,0,27,3,0,0,4,1,2,0,0,0
WarHammaa,Caladrius,91,30,53,4,4,40,2,83,19,58,1,5,1,1,7,6,0,2,0,0,0,6,0,0,0,2,1,0,0,0
WateryPorridge,Recruit,22,0,22,0,0,5,1,43,0,42,0,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Wyzenhimer,Officer,86,38,35,1,12,13,23,60,14,39,1,5,6,6,3,10,0,3,1,0,0,1,0,0,0,0,2,0,0,0
XRaySpecks,NCO,15,7,6,2,0,10,9,5,1,3,0,0,0,0,0,3,2,1,1,1,1,0,0,0,1,0,0,0,0,0
YouHaveBeenFooled,Raven,32,24,8,0,0,7,0,69,30,35,1,3,3,3,4,4,2,0,0,0,0,4,0,0,1,1,0,0,0,0
banoman111,Caladrius,10,3,7,0,0,1,0,46,18,27,0,1,0,0,3,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0
diamond61,Recruit,12,0,11,0,1,1,2,36,5,29,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
drspy13,Recruit,1,0,1,0,0,1,0,5,0,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gigglzz,Caladrius,8,0,7,0,1,2,4,6,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0
lDied,Raven,18,9,7,1,1,3,3,80,34,40,1,5,1,1,7,6,0,0,0,0,0,5,0,8,0,0,1,6,0,0
momcaman2,Raven,22,10,11,1,0,9,2,64,24,32,2,5,2,2,6,7,1,0,0,0,0,4,0,3,0,0,0,3,0,0
peacemaker18,Caladrius,20,13,7,0,0,1,7,13,0,12,0,1,0,0,0,4,0,0,0,6,0,0,0,0,1,0,1,0,0,0
pkissoltech,NCO,60,25,34,0,1,18,1,77,32,37,2,6,3,3,4,6,0,0,1,0,8,4,0,1,0,0,0,0,0,0
