name,rank,kills,vs_kills,nc_kills,nso_kills,teamkills,headshot_kills,vehicle_destroys,deaths,vs_deaths,nc_deaths,nso_deaths,teamdeaths,self_kills,self_deaths,facility_captures,facility_defends,marksman_ribbons,killstreak_ribbons,bountycontracts_ribbons,repair_ribbons,squadleadership_ribbons,pointcontrol_ribbons,piloting_ribbons,healing_ribbons,spotter_ribbons,objectivesupport_ribbons,savior_ribbons,reviving_ribbons,logistics_ribbons,resupply_ribbons
Felad321,NCO,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George6408,NCO,347,118,211,2,16,130,9,237,74,153,1,8,0,0,40,32,1,10,2,0,17,25,1,9,6,1,6,10,0,0
GhostAA,Raven,178,71,99,3,5,51,16,173,72,92,2,7,4,4,35,24,0,1,0,3,0,20,0,2,4,0,2,5,0,0
GhostBounty,Raven,71,14,53,0,4,17,17,139,26,109,0,4,2,2,16,18,0,1,0,1,0,17,1,5,0,0,1,11,0,0
Groinface,Leader,208,89,109,1,9,55,9,153,76,69,1,7,1,1,32,25,0,6,1,1,30,25,2,0,1,1,3,0,0,0
GuardsmanArmageddon2,Raven,23,1,21,0,1,7,2,52,10,39,0,3,0,0,6,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
Gumstitch,Recruit,7,2,5,0,0,0,1,38,14,19,2,2,0,0,14,4,0,0,0,2,0,4,0,1,0,0,0,1,0,0
GuraundGemu,Roc,339,142,175,5,17,93,13,220,93,113,3,10,1,1,35,17,2,7,1,2,46,17,3,0,8,0,4,0,0,0
HappySock13,Roc,57,26,28,1,2,12,0,140,62,67,1,8,1,1,24,22,1,1,0,1,0,12,0,8,1,0,1,20,0,0
Hulio1,NCO,299,87,195,2,15,61,19,257,75,167,2,13,3,3,51,39,1,5,2,0,45,48,0,34,2,1,7,12,0,0
Infiniteb1u3,Caladrius,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JayPez,Caladrius,168,52,111,2,3,39,18,284,80,184,6,13,2,2,41,38,0,1,0,0,0,24,1,0,1,2,2,2,0,0
Jraddd,Caladrius,5,0,4,0,1,0,1,22,0,20,0,1,0,0,5,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0
JxKgoesTR,Caladrius,56,26,28,1,1,13,6,46,12,31,0,3,0,0,9,8,1,1,1,1,0,2,0,4,0,0,1,3,0,0
KILLOPELMENEI,Recruit,28,0,28,0,0,8,0,48,0,48,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Khraaijyn,Recruit,79,49,20,2,8,18,6,148,80,62,1,4,5,5,21,17,1,1,0,0,0,16,0,14,0,0,1,9,0,0
Khyross,Caladrius,47,14,32,0,1,0,13,86,30,40,3,9,1,1,16,7,0,0,1,2,0,5,1,1,0,0,1,1,0,0
Kuri1,Caladrius,4,0,4,0,0,0,0,5,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KyrxxTR,Recruit,3,0,2,0,1,0,1,23,4,18,0,1,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lash,Raven,317,175,141,1,0,159,0,219,104,108,4,1,1,1,18,26,10,10,4,0,0,7,0,0,1,3,4,0,0,0
LeghamTR,Raven,93,35,48,0,10,19,6,92,36,44,1,11,1,1,13,9,0,1,0,1,0,12,0,0,2,1,2,0,0,0
Libturd,Officer,214,59,111,1,43,6,51,65,15,45,0,4,4,4,5,5,1,0,2,2,5,1,13,0,2,0,1,0,0,0
MasterAsia,Raven,85,54,29,1,1,14,24,88,42,40,2,3,1,1,7,11,1,1,0,0,0,6,0,0,6,0,3,0,0,0
NSOFconvert,Recruit,9,9,0,0,0,1,1,8,7,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Neejrow,Recruit,319,109,202,1,7,9,59,107,48,56,1,2,4,4,37,24,0,2,13,4,0,10,0,2,1,2,3,3,0,0
Nish3TR,Caladrius,44,20,18,3,3,9,4,133,55,70,5,2,2,2,25,16,0,0,0,1,0,8,0,2,0,1,0,1,0,0
NoOne40,NCO,114,51,59,0,4,41,13,132,57,59,4,6,1,1,13,11,1,3,1,0,0,7,0,0,3,2,2,0,0,0
Noremac,Recruit,11,2,8,0,1,1,0,16,6,10,0,0,0,0,3,1,0,0,0,0,0,3,0,2,0,0,0,1,0,0
NvidiaGeforceGTX,Recruit,82,11,69,0,2,22,5,38,8,30,0,0,0,0,5,2,3,3,4,1,0,0,0,0,2,0,2,0,0,0
OBGeradTR,NCO,84,39,38,1,6,12,15,120,42,67,1,9,3,3,23,17,2,0,0,2,0,12,0,0,1,0,2,0,0,0
Parademics,Raven,15,0,15,0,0,2,0,18,0,17,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PokemaniacMatt,NCO,48,23,19,1,5,5,8,67,25,41,0,1,1,1,7,12,0,0,0,2,1,6,0,0,1,1,1,0,0,0
RTilleryy,Raven,85,53,30,0,2,16,1,62,30,28,1,3,1,1,12,9,0,1,1,0,0,12,0,0,0,0,2,0,0,0
RagathTh3Knight,Caladrius,17,11,6,0,0,6,0,64,32,29,1,2,1,1,11,6,0,0,0,0,0,2,0,1,0,0,0,3,0,0
RedWarp,Raven,111,47,59,2,3,19,6,170,67,96,3,4,3,3,30,26,1,1,0,0,0,20,0,5,4,5,1,7,0,0
ReiJagaimo,Recruit,29,16,12,1,0,8,2,24,15,9,0,0,1,1,7,5,0,0,0,0,0,4,0,0,1,0,0,1,0,0
Rocketdice,Raven,35,17,15,1,2,14,1,156,64,84,0,6,3,3,25,19,0,0,0,0,0,11,0,17,1,0,2,17,0,0
RustyBicycle,Raven,116,42,72,0,2,24,6,80,19,54,1,4,1,1,20,17,1,2,0,0,0,7,0,1,3,3,1,1,0,0
SBK21,Officer,246,111,124,1,10,52,19,224,95,119,2,8,4,4,29,23,2,4,0,1,16,13,1,5,3,3,3,6,0,0
STR1D3R,Raven,36,6,27,0,3,9,2,63,17,40,0,4,1,1,12,6,0,1,0,0,0,4,0,0,0,4,0,0,0,0
ShadouKujira109,NCO,37,3,32,1,1,0,19,10,3,7,0,0,0,0,5,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0
SicaUnnie,Raven,10,8,2,0,0,2,1,18,2,14,0,1,0,0,9,6,0,0,0,0,0,7,0,3,1,0,0,2,0,0
SilentAssailant,Recruit,33,1,32,0,0,10,3,31,1,30,0,0,0,0,11,4,2,1,0,0,0,6,0,0,0,1,1,0,0,0
Solauras,Raven,147,57,69,1,20,26,9,258,96,151,3,8,6,6,29,21,0,1,0,0,0,20,0,8,0,0,3,7,0,0
Squuiizzyy,Officer,89,29,49,0,11,24,7,190,58,114,1,16,5,5,38,24,1,1,0,1,10,26,1,4,3,0,2,3,0,0
TRessStick,Recruit,43,13,24,0,6,9,2,82,41,38,0,3,3,3,12,11,1,0,0,0,0,5,0,0,1,0,1,2,0,0
TheSeventhHeart,Recruit,18,4,14,0,0,3,1,68,11,51,0,4,2,2,5,5,0,0,0,0,0,4,0,1,0,0,0,1,0,0
TinySatan2TR,Raven,265,119,132,1,13,63,13,219,70,136,2,11,0,0,34,29,2,5,1,1,0,25,0,0,3,0,7,2,0,0
TriggerhappyXD,Caladrius,49,38,9,1,1,11,1,40,31,7,0,2,0,0,5,4,1,1,0,0,0,3,0,1,0,0,0,5,0,0
TripleDeuce,Roc,133,44,86,1,2,20,6,127,57,62,3,5,1,1,23,17,1,3,1,0,0,9,0,0,1,4,1,0,0,0
TrooperTime,Leader,104,49,47,0,8,15,29,100,46,48,1,3,2,2,21,17,1,2,2,1,25,12,2,0,1,0,2,1,0,0
TsunomakiWatame,Recruit,16,9,6,0,1,3,3,35,15,17,0,3,0,0,9,11,0,0,0,0,0,5,0,11,1,0,0,8,0,0
UnBenchTheKench,Caladrius,9,0,8,0,1,3,1,27,7,18,0,0,0,0,3,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0
Unforgivingnoob,Raven,121,52,60,3,6,25,11,124,49,69,1,4,1,1,13,10,1,4,1,0,0,4,0,0,2,0,2,0,0,0
Vaaden,Raven,37,20,15,0,2,5,5,81,27,47,2,5,1,1,12,9,1,0,0,1,0,3,0,7,1,0,1,4,0,0
VinnMobile,NCO,84,30,43,1,10,13,12,129,38,82,4,5,2,2,16,13,1,1,0,1,10,4,0,0,1,1,1,0,0,0
WalkingFreeFrag,Recruit,35,24,8,0,3,5,2,35,18,14,2,1,1,1,8,5,0,0,0,2,0,1,0,0,1,0,0,0,0,0
WarHammaa,Caladrius,237,76,151,1,9,131,1,186,54,121,2,8,1,1,31,23,1,8,4,0,0,17,0,0,0,3,6,0,0,0
Wyzenhimer,Officer,107,58,42,0,7,23,26,88,32,46,1,9,1,1,17,12,0,1,1,1,11,9,0,0,2,0,2,0,0,0
XRaySpecks,NCO,117,53,59,1,4,25,5,116,62,48,4,2,0,0,26,15,2,2,0,1,0,17,0,0,1,8,2,2,0,0
Xonarain,Recruit,5,0,5,0,0,1,3,7,1,6,0,0,0,0,4,2,0,0,0,1,0,3,0,0,0,3,0,1,0,0
YokohamaRee,Recruit,60,14,45,0,1,11,5,89,19,62,1,3,0,0,5,7,1,1,0,0,0,3,0,3,1,0,1,3,0,0
YouHaveBeenFooled,Raven,24,0,23,0,1,8,0,30,2,28,0,0,3,3,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Yukinnn,Recruit,26,0,25,0,1,5,0,15,0,13,0,2,1,1,2,4,0,1,1,0,0,2,0,0,0,1,0,0,0,0
banoman111,Caladrius,6,0,6,0,0,0,1,2,0,2,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
flamemine902,Recruit,15,0,14,0,1,2,0,42,0,34,0,2,1,1,5,3,0,0,0,1,0,1,0,3,0,0,1,2,0,0
ibulleti26,Raven,59,13,43,0,3,15,2,68,17,49,1,0,3,3,12,3,0,0,0,0,0,5,0,0,2,0,0,0,0,0
jackrabbit5,Roc,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
kosipran,Recruit,11,0,11,0,0,1,5,13,1,10,0,2,1,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
lDied,Raven,58,18,32,0,8,11,5,209,61,135,5,7,3,3,45,34,0,0,0,0,0,40,0,13,1,0,2,15,0,0
neionix,Recruit,9,0,8,0,1,2,0,55,6,47,0,1,1,1,6,2,0,0,0,0,0,3,0,6,0,0,1,7,0,0
oEjHo,Roc,61,36,22,1,2,8,9,73,49,20,0,4,1,1,7,7,0,0,0,0,0,3,1,1,1,0,1,1,0,0
ohmanishere,Caladrius,48,7,39,0,2,12,8,34,3,29,0,1,1,1,4,4,0,2,1,0,0,1,0,0,2,0,0,0,0,0
peacemaker18,Caladrius,3,0,3,0,0,1,3,9,0,8,0,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pkissoltech,NCO,86,8,73,0,5,21,6,79,11,59,0,9,0,0,9,6,0,2,1,0,10,4,1,2,1,2,2,3,0,0
someterranz,Recruit,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thirtybees,Caladrius,31,10,19,0,2,7,0,113,52,52,3,2,0,0,20,12,0,0,0,0,0,7,0,2,1,0,0,3,0,0
xRajin,Recruit,70,13,57,0,0,15,2,121,21,96,0,4,3,3,19,17,1,1,0,0,0,5,0,12,1,2,1,11,0,0
